"edu","n","prop"
"9-11th",666,0.0558116148495768
"<9th",373,0.0312578563647029
"College+",2625,0.219978211681891
"HS/GED",1749,0.146568339897762
"Some college",2370,0.198608899689935
NA,4150,0.347775077516132
